From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-06-14 9:00:00,35.93,75.2,5.82,48.16,52.32,1.26
2015-06-14 12:00:00,34.56,80.6,5.22,53.54,52.15,1.29
2015-06-14 15:00:00,51.13,87.8,5.03,92.75,86.03,1.51
2015-06-14 18:00:00,81.5,87.8,4.86,175.38,67.7,1.59
2015-06-14 21:00:00,79.7,82.4,5.0,192.75,125.39,1.68
2015-06-15 0:00:00,65.06,81.05,6.56,185.29,74.7,1.49
2015-06-15 3:00:00,71.3,80.6,3.61,182.72,62.36,1.52
2015-06-15 6:00:00,118.79,82.4,4.65,137.55,74.25,1.33
2015-06-15 9:00:00,96.74,84.2,5.27,173.24,80.98,1.44
2015-06-15 12:00:00,54.6,92.05,22.36,216.1,64.04,1.36
2015-06-15 15:00:00,76.17,98.6,4.96,138.12,48.33,1.34
2015-06-15 18:00:00,99.8,93.2,5.46,282.27,70.92,1.53
2015-06-15 21:00:00,65.48,89.6,5.7,290.98,106.2,2.36
2015-06-16 0:00:00,94.27,87.8,9.2,204.83,114.88,3.52
2015-06-16 3:00:00,89.59,86.1,6.94,354.22,104.33,2.23
2015-06-16 6:00:00,92.68,82.5,4.28,347.88,89.83,2.92
2015-06-16 9:00:00,84.46,93.2,3.88,335.88,131.77,1.32
2015-06-16 12:00:00,108.28,97.9,5.43,255.29,61.24,1.11
2015-06-16 15:00:00,64.12,95.0,5.67,227.38,50.87,1.18
2015-06-16 18:00:00,51.32,91.4,5.7,310.96,49.49,1.27
2015-06-16 21:00:00,55.75,89.6,7.94,258.33,80.63,1.49
2015-06-17 0:00:00,60.16,84.2,8.22,328.33,74.12,1.33
2015-06-17 3:00:00,70.1,84.2,5.64,386.33,56.22,1.27
2015-06-17 6:00:00,66.48,82.80000000000001,5.51,318.29,53.5,1.38
2015-06-17 9:00:00,72.24,91.15,7.02,267.17,52.84,1.48
2015-06-17 12:00:00,86.88,98.6,5.72,227.2,41.52,1.43
2015-06-17 15:00:00,74.37,98.6375,5.74,198.46,49.15,1.08
2015-06-17 18:00:00,77.35,97.7171875,5.12,165.21,56.1,1.33
2015-06-17 21:00:00,50.32,95.0,9.65,268.78,152.53,2.48
2015-06-18 0:00:00,67.96,89.6,12.63,361.62,135.14,2.97
2015-06-18 3:00:00,52.88,89.6,8.05,321.96,115.02,2.31
2015-06-18 6:00:00,58.15,87.8,6.23,359.16,90.48,1.82
2015-06-18 9:00:00,91.42,98.6,5.7,278.16,73.3,1.5
2015-06-18 12:00:00,92.94,96.6875,5.5,163.38,36.16,1.06
2015-06-18 15:00:00,120.21,96.9265625,7.22,197.08,49.97,1.28
2015-06-18 18:00:00,102.19,96.8966796875,11.54,192.33,78.3,1.39
2015-06-18 21:00:00,92.26,98.6,14.62,287.42,167.09,2.48
2015-06-19 0:00:00,83.6,93.2,14.55,283.42,131.09,1.91
