From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-10-11 15:00:00,50.68,96.8,7.92,214.99,25.36,0.96
2015-10-11 18:00:00,46.63,91.4,9.38,170.24,53.12,1.2
2015-10-11 21:00:00,74.47,84.2,16.57,291.67,77.27,2.8
2015-10-12 0:00:00,77.75,77.0,17.8,274.94,71.97,2.68
2015-10-12 3:00:00,73.53,73.4,14.69,294.97,54.38,2.0
2015-10-12 6:00:00,70.92,73.4,10.15,143.89,49.25,1.76
2015-10-12 9:00:00,45.12,84.2,12.15,294.08,61.48,1.46
2015-10-12 12:00:00,70.72,91.4,16.24,235.91,43.36,1.2
2015-10-12 15:00:00,53.32,96.8,9.68,164.06,28.14,0.85
2015-10-12 18:00:00,46.7,89.6,10.02,165.45,50.0,1.35
2015-10-12 21:00:00,73.02,85.6,23.79,216.01,72.58,2.88
2015-10-13 0:00:00,135.48,82.4,26.25,238.68,74.73,3.08
2015-10-13 3:00:00,72.59,78.8,10.17,185.93,48.79,6.98
2015-10-13 6:00:00,57.61,75.2,9.49,122.78,31.4,0.86
2015-10-13 9:00:00,57.8,84.2,10.42,153.1,36.44,1.37
2015-10-13 12:00:00,82.69,95.0,17.6,217.62,45.46,4.44
2015-10-13 15:00:00,72.31,93.2,10.35,187.67,30.56,0.99
2015-10-13 18:00:00,66.58,87.8,8.57,191.31,76.26,1.38
2015-10-13 21:00:00,73.37,86.0,8.02,204.56,62.56,3.66
2015-10-14 0:00:00,55.18,80.6,7.55,146.03,38.06,0.87
2015-10-14 3:00:00,49.38,78.8,10.31,109.0,32.79,0.95
2015-10-14 6:00:00,51.97,78.8,11.35,101.45,34.28,0.97
2015-10-14 9:00:00,59.78,84.2,14.25,175.84,50.94,1.43
2015-10-14 12:00:00,88.84,91.4,26.28,186.29,36.74,1.13
2015-10-14 15:00:00,88.93,93.2,5.24,168.52,31.59,6.49
2015-10-14 18:00:00,80.76,77.0,8.91,194.21,65.64,1.41
2015-10-14 21:00:00,51.22,75.2,8.84,158.13,60.49,1.28
2015-10-15 0:00:00,68.78,73.4,13.02,183.62,60.63,1.66
2015-10-15 3:00:00,49.05,69.8,9.0,108.24,49.47,7.58
