From Date,O3,Temperature,SO2,PM10,NO2,CO
2015-01-11 16:00:00,35.17,59.0,3.18,299.51,40.22,8.12
2015-01-11 19:00:00,37.37,53.6,3.17,344.78,38.59,7.63
2015-01-11 22:00:00,63.86,48.2,2.27,437.97,49.28,12.89
2015-01-12 1:00:00,43.7,46.4,4.28,374.1,40.84,21.02
2015-01-12 4:00:00,43.52,44.6,5.44,346.82,48.69,15.49
2015-01-12 7:00:00,40.79,48.2,3.75,320.91,51.62,1.74
2015-01-12 10:00:00,35.3,50.0,4.27,333.62,42.47,6.19
2015-01-12 13:00:00,37.86,59.0,3.21,303.85,36.97,8.55
2015-01-12 16:00:00,39.98,60.8,2.57,439.1,38.74,6.57
2015-01-12 19:00:00,43.88,51.75,6.87,377.93,46.29,8.72
2015-01-12 22:00:00,44.76,48.2,9.12,288.23,54.53,5.48
2015-01-13 1:00:00,52.37,46.4,6.98,389.78,67.17,13.66
2015-01-13 4:00:00,31.56,44.6,7.11,374.44,47.7,14.17
2015-01-13 7:00:00,26.04,42.8,5.77,253.68,44.44,14.14
2015-01-13 10:00:00,31.19,50.0,4.27,222.59,39.19,7.12
2015-01-13 13:00:00,27.23,61.2,3.99,238.3,37.99,10.37
2015-01-13 16:00:00,33.06,60.8,8.69,294.48,41.21,16.24
2015-01-13 19:00:00,51.55,53.6,7.76,265.12,40.2,6.33
2015-01-13 22:00:00,70.0,51.8,5.91,335.3,43.72,10.77
2015-01-14 1:00:00,42.19,53.6,3.92,293.04,47.04,14.62
2015-01-14 4:00:00,26.09,53.6,4.91,248.41,41.04,8.06
2015-01-14 7:00:00,24.18,51.8,5.14,229.11,40.94,12.48
2015-01-14 10:00:00,45.94,53.6,4.83,206.7,32.88,7.38
2015-01-14 13:00:00,34.02,55.4,3.74,187.93,32.71,7.69
2015-01-14 16:00:00,41.31,57.2,5.01,232.56,37.06,12.51
2015-01-14 19:00:00,53.8,53.6,7.39,188.33,38.64,10.3
2015-01-14 22:00:00,69.88,50.0,3.92,235.17,63.94,7.55
2015-01-15 1:00:00,53.48,46.4,3.6,182.2,87.79,6.35
2015-01-15 4:00:00,42.07,42.8,5.25,127.2925,48.75,16.46
2015-01-15 7:00:00,41.1,42.8,7.42,351.97,55.56,8.87
2015-01-15 10:00:00,68.47,46.4,6.15,314.84,52.29,8.58
2015-01-15 13:00:00,26.67,57.2,6.33,294.19,41.92,13.25
2015-01-15 16:00:00,32.31,64.4,8.82,187.45,44.7,13.66
2015-01-15 19:00:00,40.09,56.1,9.95,399.41,75.43,10.33
2015-01-15 22:00:00,54.99,51.8,9.44,309.22,59.02,8.72
2015-01-16 1:00:00,57.8,50.0,4.68,409.32,49.94,12.99
2015-01-16 4:00:00,32.11,46.4,7.4,309.44,39.21,10.61
2015-01-16 7:00:00,32.6,46.4,6.65,383.99,33.48,13.79
2015-01-16 10:00:00,40.01,48.2,4.04,230.56,40.63,13.02
2015-01-16 13:00:00,31.5,60.8,2.4,311.84,42.78,7.55
2015-01-16 16:00:00,18.67,64.4,3.46,191.67,39.97,11.11
2015-01-16 19:00:00,29.02,55.3,5.09,334.59,63.87,10.34
2015-01-16 22:00:00,43.48,53.6,3.5,335.16,75.86,15.59
2015-01-17 1:00:00,44.7,48.2,2.09,476.25,82.88,10.44
2015-01-17 4:00:00,22.2,48.2,7.44,322.26,44.21,7.2
2015-01-17 7:00:00,26.99,46.4,6.72,252.05,39.41,14.39
2015-01-17 10:00:00,29.0,50.0,4.78,240.65,39.77,8.75
2015-01-17 13:00:00,13.47,64.4,3.32,203.05,38.65,12.82
2015-01-17 16:00:00,10.76,69.8,4.66,164.4,37.2,10.02
2015-01-17 19:00:00,18.12,59.0,8.35,318.15,66.4,7.26
2015-01-17 22:00:00,29.25,53.6,3.66,700.01,82.99,10.76
2015-01-18 1:00:00,14.37,50.0,2.23,483.21,71.12,18.04
2015-01-18 4:00:00,12.19,50.0,8.31,347.14,57.69,14.4
2015-01-18 7:00:00,11.92,42.8,9.68,377.38,57.23,10.83
2015-01-18 10:00:00,43.47,53.0,5.0,290.81,37.45,11.16
2015-01-18 13:00:00,14.56,66.2,4.89,202.41,37.44,7.45
2015-01-18 16:00:00,17.17,68.0,4.75,197.89,36.16,7.34
2015-01-18 19:00:00,21.41,58.7,4.67,274.7,59.08,6.93
2015-01-18 22:00:00,34.38,50.0,2.67,663.82,80.58,7.16
2015-01-19 1:00:00,21.28,50.0,1.5,333.33,40.42,19.63
2015-01-19 4:00:00,10.08,48.2,4.42,237.46,33.82,8.36
2015-01-19 7:00:00,37.33,48.2,5.64,264.92,33.78,3.89
2015-01-19 10:00:00,15.8,50.0,5.67,220.4,42.2,7.3
2015-01-19 13:00:00,15.89,63.45,3.72,318.46,50.5,7.13
2015-01-19 16:00:00,21.91,66.2,4.41,301.78,39.07,9.18
2015-01-19 19:00:00,27.23,60.0,3.78,271.19,41.36,7.37
2015-01-19 22:00:00,56.93,53.6,3.26,319.11,37.84,11.46
2015-01-20 1:00:00,11.64,50.0,2.92,254.37,48.9,13.51
2015-01-20 4:00:00,9.01,50.0,3.29,84.79,32.11,7.17
2015-01-20 7:00:00,8.64,51.8,2.9,257.43,29.7,5.52
2015-01-20 10:00:00,23.22,55.4,3.88,335.74,35.69,6.02
2015-01-20 13:00:00,20.41,60.8,5.0,283.55,33.15,6.02
2015-01-20 16:00:00,20.15,60.8,4.09,327.94,33.03,7.15
2015-01-20 19:00:00,33.08,53.6,4.44,247.33,30.58,11.73
2015-01-20 22:00:00,45.35,53.6,5.04,245.96,31.04,7.66
2015-01-21 1:00:00,43.01,51.8,3.58,211.53,28.65,9.24
2015-01-21 4:00:00,15.36,50.0,4.2,177.79,28.75,6.76
2015-01-21 7:00:00,13.24,49.9,3.13,301.24,27.37,5.53
2015-01-21 10:00:00,14.17,53.6,4.5,182.19,16.13,8.12
2015-01-21 13:00:00,14.02,60.8,5.83,298.51,16.63,8.81
2015-01-21 16:00:00,18.57,60.8,8.33,211.82125,18.05,9.42
2015-01-21 19:00:00,20.3,57.2,13.17,286.35,19.66,23.27
2015-01-21 22:00:00,15.82,53.6,12.17,284.17,24.16,7.6
2015-01-22 1:00:00,6.88,53.6,8.67,256.38,25.92,16.88
2015-01-22 4:00:00,5.7,53.6,10.17,279.27,25.54,9.47
